iter	Passed	Remaining
787	7365	39369
788	7374	39357
789	7382	39343
790	7391	39330
791	7399	39316
792	7409	39306
793	7418	39295
794	7426	39282
795	7435	39272
796	7444	39259
797	7453	39246
798	7461	39233
799	7471	39223
800	7479	39211
801	7488	39200
802	7497	39187
803	7506	39176
804	7515	39164
805	7524	39152
806	7532	39139
807	7541	39126
808	7550	39113
809	7558	39100
810	7567	39087
811	7575	39073
812	7585	39063
813	7594	39052
814	7602	39039
815	7611	39026
816	7619	39012
817	7629	39003
818	7637	38991
819	7646	38978
820	7655	38967
821	7664	38956
822	7673	38946
823	7682	38935
824	7691	38921
825	7699	38909
826	7708	38898
827	7717	38886
828	7726	38873
829	7734	38860
830	7743	38849
831	7752	38837
832	7761	38824
833	7770	38812
834	7778	38800
835	7787	38788
836	7796	38778
837	7805	38765
838	7814	38755
839	7823	38743
840	7831	38731
841	7840	38718
842	7849	38707
843	7858	38698
844	7867	38686
845	7876	38673
846	7885	38662
847	7894	38652
848	7903	38642
849	7912	38631
850	7921	38621
851	7930	38608
852	7938	38595
853	7947	38581
854	7955	38569
855	7964	38556
856	7973	38546
857	7982	38535
858	7991	38522
859	7999	38510
860	8009	38501
861	8017	38489
862	8026	38476
863	8034	38463
864	8043	38451
865	8052	38438
866	8060	38425
867	8069	38413
868	8078	38402
869	8087	38391
870	8096	38379
871	8104	38368
872	8113	38356
873	8122	38345
874	8131	38332
875	8140	38322
876	8148	38309
877	8157	38298
878	8166	38285
879	8174	38273
880	8192	38304
881	8208	38326
882	8219	38325
883	8229	38316
884	8238	38306
885	8247	38298
886	8257	38288
887	8266	38277
888	8274	38264
889	8283	38253
890	8292	38240
891	8300	38227
892	8309	38217
893	8318	38204
894	8326	38192
895	8335	38180
896	8344	38167
897	8353	38156
898	8361	38143
899	8370	38132
900	8379	38121
901	8388	38109
902	8397	38098
903	8405	38085
904	8414	38073
905	8422	38061
906	8431	38049
907	8440	38037
908	8448	38025
909	8457	38013
910	8466	38002
911	8475	37992
912	8484	37979
913	8492	37967
914	8501	37956
915	8510	37943
916	8519	37931
917	8528	37921
918	8536	37908
919	8545	37895
920	8553	37884
921	8562	37873
922	8571	37860
923	8579	37848
924	8588	37836
925	8597	37823
926	8605	37811
927	8614	37799
928	8623	37788
929	8632	37777
930	8640	37765
931	8649	37752
932	8657	37739
933	8666	37726
934	8675	37715
935	8683	37702
936	8692	37692
937	8701	37681
938	8710	37670
939	8719	37659
940	8728	37649
941	8737	37639
942	8746	37630
943	8755	37620
944	8765	37611
945	8774	37600
946	8782	37589
947	8791	37579
948	8800	37567
949	8809	37556
950	8818	37545
951	8827	37533
952	8835	37521
953	8844	37510
954	8853	37499
955	8862	37489
956	8871	37477
957	8879	37465
958	8888	37453
959	8897	37442
960	8905	37431
961	8914	37418
962	8923	37407
963	8932	37397
964	8940	37385
965	8949	37373
966	8958	37362
967	8967	37351
968	8976	37342
969	8985	37330
970	8993	37317
971	9002	37307
972	9011	37295
973	9020	37286
974	9029	37275
975	9038	37265
976	9047	37256
977	9056	37245
978	9065	37234
979	9074	37225
980	9083	37214
981	9092	37202
982	9101	37192
983	9110	37182
984	9119	37172
985	9128	37161
986	9136	37149
987	9145	37139
988	9154	37126
989	9172	37154
990	9192	37188
991	9204	37188
992	9213	37180
993	9222	37169
994	9231	37159
995	9241	37150
996	9249	37138
997	9258	37128
998	9267	37116
999	9276	37107
1000	9285	37095
1001	9294	37086
1002	9303	37075
1003	9313	37066
1004	9322	37056
1005	9331	37046
1006	9340	37036
1007	9348	37024
1008	9357	37014
1009	9366	37003
1010	9375	36992
1011	9384	36979
1012	9393	36970
1013	9401	36958
1014	9410	36948
1015	9419	36935
1016	9428	36925
1017	9437	36916
1018	9446	36903
1019	9454	36892
1020	9463	36881
1021	9472	36870
1022	9480	36858
1023	9489	36845
1024	9498	36833
1025	9507	36823
1026	9515	36810
1027	9524	36800
1028	9532	36788
1029	9541	36777
1030	9550	36766
1031	9559	36754
1032	9567	36742
1033	9576	36729
1034	9584	36718
1035	9593	36707
1036	9602	36696
1037	9610	36684
1038	9620	36675
1039	9628	36664
1040	9637	36652
1041	9646	36641
1042	9655	36629
1043	9664	36620
1044	9672	36607
1045	9681	36596
1046	9690	36585
1047	9698	36574
1048	9707	36562
1049	9716	36554
1050	9725	36542
1051	9734	36530
1052	9743	36520
1053	9751	36508
1054	9760	36497
1055	9768	36485
1056	9777	36474
1057	9786	36462
1058	9794	36451
1059	9804	36441
1060	9812	36429
1061	9821	36417
1062	9829	36406
1063	9838	36393
1064	9846	36382
1065	9855	36370
1066	9863	36358
1067	9872	36347
1068	9881	36337
1069	9890	36327
1070	9899	36315
1071	9908	36305
1072	9916	36293
1073	9925	36283
1074	9934	36272
1075	9943	36262
1076	9952	36250
1077	9960	36240
1078	9969	36228
1079	9978	36216
1080	9986	36204
1081	9995	36192
1082	10003	36181
1083	10012	36170
1084	10021	36158
1085	10029	36147
1086	10037	36134
1087	10046	36122
1088	10055	36111
1089	10064	36101
1090	10073	36091
1091	10081	36079
1092	10090	36068
1093	10099	36058
1094	10107	36046
1095	10116	36035
1096	10125	36024
1097	10137	36024
1098	10156	36050
1099	10169	36055
1100	10178	36045
1101	10187	36035
1102	10196	36026
1103	10206	36017
1104	10214	36006
1105	10223	35995
1106	10232	35983
1107	10240	35972
1108	10250	35963
1109	10258	35952
1110	10268	35942
1111	10276	35932
1112	10285	35922
1113	10294	35911
1114	10303	35900
1115	10312	35890
1116	10321	35880
1117	10330	35869
1118	10339	35859
